document_id,date,title,pdf_url,description,description_source
C09000053,7/29/1993,"July 29, 1993 Note From Strobe Talbott To Tony Lake",https://foia.state.gov/DOCUMENTS/FOIA_L_July2022/FL-2017-13804/DOC_0C09000053/C09000053.pdf,"State Department FOIA record C09000053, dated 5/4/1994, is titled ""Opening comments about last night's CNN"". The released text begins: ""BC asks about Karen Elliot House ST: She's a neocon, wife of Kahn, beaten up alot of us over years, close to WSJ editorial line. Not a classic right-winger , but hard line.""",pdf
C09000057,9/30/1993,"September 30, 1993 Letter To Tony",https://foia.state.gov/DOCUMENTS/FOIA_L_July2022/FL-2017-13804/DOC_0C09000057/C09000057.pdf,"State Department FOIA record C09000057, dated 9/30/1993, is titled ""September 30, 1993 Letter To Tony"". The released text begins: ""I've been concerned over the past little whi.le, certainly going back to the Great Grachev Near-Non-Drop-By, that we really did need to sit down and talk through with each other a couple of issues. But that's not going to be very easy.""",pdf
C09000022,3/28/1994,WHOSE RUSSIA IS IT ANYWAY? TOWARD A POLICY OF BENIGN RESPECT,https://foia.state.gov/DOCUMENTS/FOIA_L_Oct2024/FL-2017-13804/DOC_0C09000022/C09000022.pdf,"State Department FOIA record C09000022, dated 3/28/1994, is titled ""WHOSE RUSSIA IS IT ANYWAY? TOWARD A POLICY OF BENIGN RESPECT"". The released text begins: ""CONEID, 03/28 03/28/94 pm 06:37 pm Page: Page: 1 1 Item Subject: Item Subject: WHOSE RUSSIA IS IS IT IT ANYWAY? TOwARD POLICY OF or BENIGN BENIGN RESPECT RESPECT PAGE 01 PAGE 01 MOSCOW MOSCOW 8427 8427 281232Z MAR 94 2812322 SUBJECT: SUBJECT: WHOSE RUSSIA WHOSE RUSSIA IS IS I'£ IT ANYWAY?""",pdf
C09000058,5/2/1994,YOUR APPEARANCE ON CNN TOMORROW,https://foia.state.gov/DOCUMENTS/FOIA_L_May2022/FL-2017-13804/DOC_0C09000058/C09000058.pdf,"State Department FOIA record C09000058, dated 5/2/1994, is titled ""YOUR APPEARANCE ON CNN TOMORROW"". The released text begins: ""You can use the occasion to assert our objectives, explain our strategy, review our accomplishments, and push back against our critics. Like most other periods of great change, this era comes at the end of a war.""",pdf
C09000053,5/4/1994,Opening comments about last night's CNN,https://foia.state.gov/DOCUMENTS/FOIA_L_May2022/FL-2017-13804/DOC_0C09000053/C09000053.pdf,"State Department FOIA record C09000053, dated 5/4/1994, is titled ""Opening comments about last night's CNN"". The released text begins: ""BC asks about Karen Elliot House ST: She's a neocon, wife of Kahn, beaten up alot of us over years, close to WSJ editorial line. Not a classic right-winger , but hard line.""",pdf
C09000057,6/7/1994,"Letter dated June 7, 1994 to Bill Clinton",https://foia.state.gov/DOCUMENTS/FOIA_L_May2022/FL-2017-13804/DOC_0C09000057/C09000057.pdf,"State Department FOIA record C09000057, dated 9/30/1993, is titled ""September 30, 1993 Letter To Tony"". The released text begins: ""I've been concerned over the past little whi.le, certainly going back to the Great Grachev Near-Non-Drop-By, that we really did need to sit down and talk through with each other a couple of issues. But that's not going to be very easy.""",pdf
C09000056,6/9/1994,"Letter dated June 9, 1994 from Nelson S. Talbott to Bill Clinton",https://foia.state.gov/DOCUMENTS/FOIA_L_May2022/FL-2017-13804/DOC_0C09000056/C09000056.pdf,"State Department FOIA record C09000056, dated 6/9/1994, is titled ""Letter dated June 9, 1994 from Nelson S. Talbott to Bill Clinton"". The released text begins: ""TM-1KM WW4AM PAWL _OWO AWING June 9. 1994 Dear Mr. President: Weicome home from an outstanding, inspirational performance in Europe.""",pdf
C09000021,9/3/1994,"DISSENT CHANNEL: S/P DIRECTOR STEINBERG-S RESPONSE TO DISSENT CHANNEL MESSAGE FROM HEAD OF POLITICAL INTERNAL SECTION, EMBASSY MOSCOW",https://foia.state.gov/DOCUMENTS/FOIA_L_Oct2024/FL-2017-13804/DOC_0C09000021/C09000021.pdf,"State Department FOIA record C09000021, dated 9/3/1994, is titled ""DISSENT CHANNEL: S/P DIRECTOR STEINBERG-S RESPONSE TO DISSENT CHANNEL MESSAGE FROM HEAD OF POLITICAL INTERNAL SECTION, EMBASSY MOSCOW"". The released text begins: ""FOR THE THE ROPIER FOPHEF COMl-lt.lNIST STATES. BY BY ABANDONING ABANDONING ECONOMIC ECONOMIC REFORM, P.EFOfl.!-1, WE WE :!IBJECT: DISSENT CHANNEL: ·""""B~TECT: DISSENT CHANNEL: S/P DIRECTOR STEINBERG-5 S/P DIRECTOR STEINBERG-$ WOULD ALSO WOULD ALSO BE BE DOOMING DOOMING DEMOCRACY DEMOCRA…""",pdf
C09000012,9/12/1994,"September 12, 1994 Letter To Boris",https://foia.state.gov/DOCUMENTS/FOIA_L_July2023/FL-2017-13804/DOC_0C09000012/C09000012.pdf,"State Department FOIA record C09000012, dated 9/12/1994, is titled ""September 12, 1994 Letter To Boris"". The released text begins: ""II agree agree with with you thatthat we should work we.. should work with with our our P-5 P- colleagues to colleagues to give give impulse impulse toto a a ban ban onon production production of of weapon-grade weapon-grade fissile materi… The fissile The efforts efforts to to develop develop aa ban ban in in the the Conference Conference on Disarmament on Disarmament (CD) (CD) have have thus thus far far been been slow, slow, and and P-5 P-5 action action could…",pdf
C09000055,10/17/1994,Delivered to the White House 10/17,https://foia.state.gov/DOCUMENTS/FOIA_L_May2022/FL-2017-13804/DOC_0C09000055/C09000055.pdf,"State Department FOIA record C09000055, dated 10/17/1994, is titled ""Delivered to the White House 10/17"". The released text begins: ""I have given appropriate instructions regarding the vote being governed by the supreme interests of the US-Russian partnership. References to Iraq having not withdrawn its tanks to their permanent stationment positions, are not valid.""",pdf
C09000054,11/7/1994,"Note dated November 7, 1994 from Strobe Talbott to Boss",https://foia.state.gov/DOCUMENTS/FOIA_L_May2022/FL-2017-13804/DOC_0C09000054/C09000054.pdf,"State Department FOIA record C09000054, dated 4/28/1993, is titled ""Proposed Message to President Yeltsin"". The released text begins: ""I have also attached a proposed response to Yeltsin (which I have reviewed with Strobe Talbott). The proposed message includes our views on a variety of the most important issues on the agenda with Russia.""",pdf
C09000052,12/12/1994,"December 12, 1994 letter from Strobe Talbott to Yuri",https://foia.state.gov/DOCUMENTS/FOIA_L_May2022/FL-2017-13804/DOC_0C09000052/C09000052.pdf,"State Department FOIA record C09000052, dated 12/12/1994, is titled ""December 12, 1994 letter from Strobe Talbott to Yuri"". The released text begins: ""Like the last such letter I wrote you, quite a while ago, this is an entirely private communication. It goes from my head to your eyes without passing through any clearance procedures or any intermediaries, other than Jim's willingness to play postman.""",pdf
C09000084,1/4/1995,Handwritten Note with attachment(s),https://foia.state.gov/DOCUMENTS/FOIA_L_June2022/FL-2017-13804/DOC_0C09000084/C09000084.pdf,"State Department FOIA record C09000084, dated 1/4/1995, is titled ""Handwritten Note with attachment(s)"". Released under FOIA case F-2017-13804 in the Strobe Talbott collection. Searchable text was not extracted; consult the source PDF for full content.",metadata
C09000085,1/15/1995,Handwritten Note with attachment(s),https://foia.state.gov/DOCUMENTS/FOIA_L_June2022/FL-2017-13804/DOC_0C09000085/C09000085.pdf,"State Department FOIA record C09000085, dated 2/23/1995, is titled ""Memorandum for Secretary Brown W/Attachment(s)"". The released text begins: ""(b)(6) enne ri Executive Secreta Attachm ents: Attachments: As· stated. Your Your visit visit will will help assuage help assuage Spanish Spanish concerns concern s about about the the importance importa nce we we attach attach toto the bilateral the bilater al relationship. relation ship.""",pdf
C09000086,1/18/1995,"January 18, 1995 Letter from Strobe Talbott to Sandy Berger",https://foia.state.gov/DOCUMENTS/FOIA_L_June2022/FL-2017-13804/DOC_0C09000086/C09000086.pdf,"State Department FOIA record C09000086, dated 1/18/1995, is titled ""January 18, 1995 Letter from Strobe Talbott to Sandy Berger"". Released under FOIA case F-2017-13804 in the Strobe Talbott collection. Searchable text was not extracted; consult the source PDF for full content.",metadata
C09000090,2/2/1995,Russia -- What Next?,https://foia.state.gov/DOCUMENTS/FOIA_L_Apr2023/FL-2017-13804/DOC_0C09000090/C09000090.pdf,"State Department FOIA record C09000090, dated 3/14/1995, is titled ""March 14, 1995 Letter from Strobe Talbott to Anthony Lake"". Released under FOIA case F-2017-13804 in the Strobe Talbott collection. Searchable text was not extracted; consult the source PDF for full content.",metadata
C09000091,2/3/1995,OFFICIAL - INFORMAL,https://foia.state.gov/DOCUMENTS/FOIA_L_Apr2023/FL-2017-13804/DOC_0C09000091/C09000091.pdf,"State Department FOIA record C09000091, dated 2/3/1995, is titled ""OFFICIAL - INFORMAL"". The released text begins: ""TOM, I'D I 'D BE BE GRATEFUL If YOU COULD PASS GRATEFUL IF PASS THE THE FOLLOWING FOLL OWING CONFIDENTIAL CONFIDENTIAL NOTE FROM FROM ME TO MAMEDOV. THANKS ALSO, FOR FOR YOUR FINE WORK ON THIS ONE, BEST, YOUR FINE WORK ON THIS ONE.""",pdf
C09000087,2/5/1995,Handwritten Note with attachment(s),https://foia.state.gov/DOCUMENTS/FOIA_L_June2022/FL-2017-13804/DOC_0C09000087/C09000087.pdf,"State Department FOIA record C09000087, dated 2/5/1995, is titled ""Handwritten Note with attachment(s)"". Released under FOIA case F-2017-13804 in the Strobe Talbott collection. Searchable text was not extracted; consult the source PDF for full content.",metadata
C09000089,2/5/1995,Handwritten Note with attachment(s),https://foia.state.gov/DOCUMENTS/FOIA_L_June2022/FL-2017-13804/DOC_0C09000089/C09000089.pdf,"State Department FOIA record C09000089, dated 2/5/1995, is titled ""Handwritten Note with attachment(s)"". Released under FOIA case F-2017-13804 in the Strobe Talbott collection. Searchable text was not extracted; consult the source PDF for full content.",metadata
C09000084,2/21/1995,"February 21, 1995 Letter From Strobe To Juergen Chrobog",https://foia.state.gov/DOCUMENTS/FOIA_L_Apr2023/FL-2017-13804/DOC_0C09000084/C09000084.pdf,"State Department FOIA record C09000084, dated 1/4/1995, is titled ""Handwritten Note with attachment(s)"". Released under FOIA case F-2017-13804 in the Strobe Talbott collection. Searchable text was not extracted; consult the source PDF for full content.",metadata
C09000085,2/23/1995,Memorandum for Secretary Brown W/Attachment(s),https://foia.state.gov/DOCUMENTS/FOIA_L_Apr2023/FL-2017-13804/DOC_0C09000085/C09000085.pdf,"State Department FOIA record C09000085, dated 2/23/1995, is titled ""Memorandum for Secretary Brown W/Attachment(s)"". The released text begins: ""(b)(6) enne ri Executive Secreta Attachm ents: Attachments: As· stated. Your Your visit visit will will help assuage help assuage Spanish Spanish concerns concern s about about the the importance importa nce we we attach attach toto the bilateral the bilater al relationship. relation ship.""",pdf
C09000092,3/2/1995,OFFICIAL - INFORMAL,https://foia.state.gov/DOCUMENTS/FOIA_L_Apr2023/FL-2017-13804/DOC_0C09000092/C09000092.pdf,"State Department FOIA record C09000092, dated 3/2/1995, is titled ""OFFICIAL - INFORMAL"". The released text begins: ""I APPRECIATE I APPRECIATE YOUR YOUR HELP HELP PREPARING PREPARING FOR, FOR, AND AND FOLLOWING-UP ON, FOLLOWING-UP GEM'S VISIT. CONSIDERING HOW DIFFICULT CONSIDERING HOW DIFFICULT THE CONTEXT THE CONTEXT WAS, WAS, II THINK THINK IT IT WENT PRETTY WELL, WENT PRETTY THANKS IN WELL, THANKS IN NO SMALL MEASURE NO SMALL MEASURE TO YOU. .""",pdf
C09000090,3/14/1995,"March 14, 1995 Letter from Strobe Talbott to Anthony Lake",https://foia.state.gov/DOCUMENTS/FOIA_L_June2022/FL-2017-13804/DOC_0C09000090/C09000090.pdf,"State Department FOIA record C09000090, dated 3/14/1995, is titled ""March 14, 1995 Letter from Strobe Talbott to Anthony Lake"". Released under FOIA case F-2017-13804 in the Strobe Talbott collection. Searchable text was not extracted; consult the source PDF for full content.",metadata
C09000093,3/14/1995,OFFICIAL - INFORMAL,https://foia.state.gov/DOCUMENTS/FOIA_L_Apr2023/FL-2017-13804/DOC_0C09000093/C09000093.pdf,"State Department FOIA record C09000093, dated 3/14/1995, is titled ""OFFICIAL - INFORMAL"". The released text begins: ""TOM, THANKS FOR FOR THE THE EXCELLENT CABLE THAT DID INDEED DID INDEED FILL THE FILL BILL ~F SETTING THE BILL OF SETTING THE SCENE FOR OUR FOR OUR PSG MEETING MEETING YESTERDAY. IT WAS SO GOOD WAS SO THAT RATHER GOOD THAT RATHER THAN THAN SUMMARIZING SUMMARIZING {OR PLAGIARIZING} {OR PLAGIARIZING} IT,IT, II SIMPLY SIMPLY HANDED HANDED ITIT OUT, OUT.""",pdf
C09000011,3/25/1995,The Moscow Summit,https://foia.state.gov/DOCUMENTS/FOIA_L_June2022/FL-2017-13804/DOC_0C09000011/C09000011.pdf,"State Department FOIA record C09000011, dated 7/9/1993, is titled ""Handwritten Notes"". Released under FOIA case F-2017-13804 in the Strobe Talbott collection. Searchable text was not extracted; consult the source PDF for full content.",metadata
C09000094,4/2/1995,Statement from VN,https://foia.state.gov/DOCUMENTS/FOIA_L_Apr2023/FL-2017-13804/DOC_0C09000094/C09000094.pdf,"State Department FOIA record C09000094, dated 4/2/1995, is titled ""Statement from VN"". The released text begins: ""Obviously, there are Obviously, there are some some core core points that I'll points that I'll use use repeatedly, but repeatedly, but we we need need aa strategy strategy for for each each meeting. meeting. Before we Before leave I we leave I think think we should sit we should sit down down and and strategize about strategize about how how we're going to we're going to approach approach the the various various meetings. meetings.""",pdf
C09000095,4/4/1995,OFFICIAL - INFORMAL,https://foia.state.gov/DOCUMENTS/FOIA_L_Apr2023/FL-2017-13804/DOC_0C09000095/C09000095.pdf,"State Department FOIA record C09000095, dated 4/4/1995, is titled ""OFFICIAL - INFORMAL"". The released text begins: ""PI AND JIM JIM E,O. 12356: E.O. l.2356: DECL:MAY 1999 DECL:MAY 199 TAGS: TAGS: AMGT SUBJECT : SUBJECT: OFFICIAL- OFFICIAL-INFORMAL COLLINS IN COLLINS IN ALMATY ALMATY REF: MO REF: SCO W 11179 MOSCOW l,l,l.79 l,. 1. THANKS FOR THANKS FOR THE THE FULL FULL AND AND COGENT REPORT ON COGENT REPORT THE MAMEDOV ON THE MAMEDOV SESSION .""",pdf
C09000078,4/11/1995,U.S. - Turkish Leadership in the post-Cold War World,https://foia.state.gov/DOCUMENTS/FOIA_L_Sep2023/FL-2017-13804/DOC_0C09000078/C09000078.pdf,"State Department FOIA record C09000078, dated 4/11/1995, is titled ""U.S. - Turkish Leadership in the post-Cold War World"". The released text begins: ""U.S. -- Turkish Turkish Leadership Leadership in in the the post-Cold post-Cold War War World World (AS (AS DELIVERED) DELIVERED) Remarks Remarks by U.S. Deputy Secretary of State Strobe Talbott at at Bilkent Bilkent University University Ankara, Turkey April 11, 1995 FL-2017-13804 A-00000608870 ""UNCLASSIFIED"" 7/11/2023 FL-2017-13804 7-11-23 2 It's a pleasure to be back in Ankara.""",pdf
C09000031,4/12/1995,Handwritten Letter W/Attachment(s),https://foia.state.gov/DOCUMENTS/FOIA_L_July2022/FL-2017-13804/DOC_0C09000031/C09000031.pdf,"State Department FOIA record C09000031, dated 4/12/1995, is titled ""Handwritten Letter W/Attachment(s)"". The released text begins: ""William J • Perry, p erry , Secreta ry of Secretary of Defense. THE THE DEPUTY DEPUTY SECRETARY SECRETAR Y OF OF STATE STATE WASHINGT ON WASHINGTON fJpr Y/ I 1- 7.f' p ~ —31A --;J;vl — - 1 1 /I',.,, i..,>f~J is--1 1"" i.,:aty,A) 'l'---j w-, t._ ,..J (C-<n-rr,_.1 j (..""",pdf
C09000091,4/12/1995,Handwritten Letter with attachment(s),https://foia.state.gov/DOCUMENTS/FOIA_L_June2022/FL-2017-13804/DOC_0C09000091/C09000091.pdf,"State Department FOIA record C09000091, dated 2/3/1995, is titled ""OFFICIAL - INFORMAL"". The released text begins: ""TOM, I'D I 'D BE BE GRATEFUL If YOU COULD PASS GRATEFUL IF PASS THE THE FOLLOWING FOLL OWING CONFIDENTIAL CONFIDENTIAL NOTE FROM FROM ME TO MAMEDOV. THANKS ALSO, FOR FOR YOUR FINE WORK ON THIS ONE, BEST, YOUR FINE WORK ON THIS ONE.""",pdf
C09000032,4/13/1995,"April 13, 1995 Letter From Strobe Talbott To Professor Bilocerkowycz W/Attachment(s)",https://foia.state.gov/DOCUMENTS/FOIA_L_July2022/FL-2017-13804/DOC_0C09000032/C09000032.pdf,"State Department FOIA record C09000032, dated 4/13/1995, is titled ""April 13, 1995 Letter From Strobe Talbott To Professor Bilocerkowycz W/Attachment(s)"". The released text begins: ""II look forward to reading it. to reading it. II was very very pleased pleased to to meet meet you you in Dayton. 1I enjoyed in Dayton. enjoyed the the visit visit and and was greatly impressed was greatly impressed by the University by the University ofof Dayton.""",pdf
C09000033,4/14/1995,"April 14, 1995 Letter From Strobe Talbott To Professor Tucker W/Attachment(s)",https://foia.state.gov/DOCUMENTS/FOIA_L_July2022/FL-2017-13804/DOC_0C09000033/C09000033.pdf,"State Department FOIA record C09000033, dated 4/14/1995, is titled ""April 14, 1995 Letter From Strobe Talbott To Professor Tucker W/Attachment(s)"". The released text begins: ""These your Op-Ed informative contributions have been informative been given given to to our our Office Office of of Russian Affairs, which is preparing for for the President's President's trip trip to Moscow in May. to May. In your In your letter you mentioned the possibility of of former former Ambassador Kennan attending the Ambassador Kennan the end end of of World War 50th War II 50th anniversary celebration in Mosco…",pdf
C09000096,4/19/1995,Handwritten Note,https://foia.state.gov/DOCUMENTS/FOIA_L_Apr2023/FL-2017-13804/DOC_0C09000096/C09000096.pdf,"State Department FOIA record C09000096, dated 4/19/1995, is titled ""Handwritten Note"". Released under FOIA case F-2017-13804 in the Strobe Talbott collection. Searchable text was not extracted; consult the source PDF for full content.",metadata
C09000026,4/22/1995,"April 22, 1995 Memorandum from Strobe Talbott to THE SECRETARY",https://foia.state.gov/DOCUMENTS/FOIA_L_June2022/FL-2017-13804/DOC_0C09000026/C09000026.pdf,"State Department FOIA record C09000026, dated 4/22/1995, is titled ""April 22, 1995 Memorandum from Strobe Talbott to THE SECRETARY"". Released under FOIA case F-2017-13804 in the Strobe Talbott collection. Searchable text was not extracted; consult the source PDF for full content.",metadata
C09000092,4/26/1995,Handwritten Note with attachment(s),https://foia.state.gov/DOCUMENTS/FOIA_L_June2022/FL-2017-13804/DOC_0C09000092/C09000092.pdf,"State Department FOIA record C09000092, dated 3/2/1995, is titled ""OFFICIAL - INFORMAL"". The released text begins: ""I APPRECIATE I APPRECIATE YOUR YOUR HELP HELP PREPARING PREPARING FOR, FOR, AND AND FOLLOWING-UP ON, FOLLOWING-UP GEM'S VISIT. CONSIDERING HOW DIFFICULT CONSIDERING HOW DIFFICULT THE CONTEXT THE CONTEXT WAS, WAS, II THINK THINK IT IT WENT PRETTY WELL, WENT PRETTY THANKS IN WELL, THANKS IN NO SMALL MEASURE NO SMALL MEASURE TO YOU. .""",pdf
C09000097,5/1/1995,OFFICIAL - INFORMAL,https://foia.state.gov/DOCUMENTS/FOIA_L_Apr2023/FL-2017-13804/DOC_0C09000097/C09000097.pdf,"State Department FOIA record C09000097, dated 5/1/1995, is titled ""OFFICIAL - INFORMAL"". The released text begins: ""IT WAS BY AND WAS, BY LARGE, PROMISING, AND LARGE, PROMI SING, THOUGH IT THOUGH IT HAD HAD ITS ITS UPS UPS AND AND DOWNS. YOU AND M DID A MAMEDOV DID A SUPERB JOB SUPERB JOB OF OF MANAGING MANAGING THINGS THINGS FROM FROM THERE.""",pdf
C09000056,5/3/1995,"May 3, 1995 Note from Strobe to The Secretary",https://foia.state.gov/DOCUMENTS/FOIA_L_June2022/FL-2017-13804/DOC_0C09000056/C09000056.pdf,"State Department FOIA record C09000056, dated 6/9/1994, is titled ""Letter dated June 9, 1994 from Nelson S. Talbott to Bill Clinton"". The released text begins: ""TM-1KM WW4AM PAWL _OWO AWING June 9. 1994 Dear Mr. President: Weicome home from an outstanding, inspirational performance in Europe.""",pdf
C09000093,5/4/1995,"May 4, 1995 Letter from Strobe to Bob",https://foia.state.gov/DOCUMENTS/FOIA_L_June2022/FL-2017-13804/DOC_0C09000093/C09000093.pdf,"State Department FOIA record C09000093, dated 3/14/1995, is titled ""OFFICIAL - INFORMAL"". The released text begins: ""TOM, THANKS FOR FOR THE THE EXCELLENT CABLE THAT DID INDEED DID INDEED FILL THE FILL BILL ~F SETTING THE BILL OF SETTING THE SCENE FOR OUR FOR OUR PSG MEETING MEETING YESTERDAY. IT WAS SO GOOD WAS SO THAT RATHER GOOD THAT RATHER THAN THAN SUMMARIZING SUMMARIZING {OR PLAGIARIZING} {OR PLAGIARIZING} IT,IT, II SIMPLY SIMPLY HANDED HANDED ITIT OUT, OUT.""",pdf
C09000061,5/8/1995,Interview with Andrei Kosyrev,https://foia.state.gov/DOCUMENTS/FOIA_L_June2022/FL-2017-13804/DOC_0C09000061/C09000061.pdf,"State Department FOIA record C09000061, dated 5/8/1995, is titled ""Interview with Andrei Kosyrev"". Released under FOIA case F-2017-13804 in the Strobe Talbott collection. Searchable text was not extracted; consult the source PDF for full content.",metadata
C09000038,5/12/1995,Handwritten Note,https://foia.state.gov/DOCUMENTS/FOIA_L_July2022/FL-2017-13804/DOC_0C09000038/C09000038.pdf,"State Department FOIA record C09000038, dated 5/12/1995, is titled ""Handwritten Note"". Released under FOIA case F-2017-13804 in the Strobe Talbott collection. Searchable text was not extracted; consult the source PDF for full content.",metadata
C09000047,5/23/1995,Summers trip to Moscow and Russian Finance w/Attached Cover Sheet,https://foia.state.gov/DOCUMENTS/FOIA_L_June2024/FL-2017-13804/DOC_0C09000047/C09000047.pdf,"State Department FOIA record C09000047, dated 5/23/1995, is titled ""Summers trip to Moscow and Russian Finance w/Attached Cover Sheet"". The released text begins: ""Addressees outside the Department of State should handle the document in accordance with the above instructions. When this document is no longer needed, the recipient is responsible for seeing that it is is destroyed and for mailing a record of destruction to Mr.""",pdf
C09000042,5/25/1995,"May 25, 1995 Letter From Strobe Talbott To Charles",https://foia.state.gov/DOCUMENTS/FOIA_L_July2022/FL-2017-13804/DOC_0C09000042/C09000042.pdf,"State Department FOIA record C09000042, dated 5/25/1995, is titled ""May 25, 1995 Letter From Strobe Talbott To Charles"". The released text begins: ""It is is useful useful and welcome. welcome. You understand You unders what's happening what's in Hungary happening in Hungary better better than than just just about about anyone on anyone on earth, earth, so so II appreciate appreciate your your insights and advice.""",pdf
